model,target,score,params,predictors
glm,EMPLOY,0.7798260869565218,"{'C': 0.6, 'solver': 'sag'}",EMPLOY1_2++EMPLOY1_8++agecat++SOCSEC3++SOCSEC2
glm,EMPLOY,0.7796521739130435,"{'C': 0.2, 'solver': 'sag'}",EMPLOY1_2++RETIRE++agecat++SOCSEC3++BENEFITS_5
glm,EMPLOY,0.7793043478260869,"{'C': 0.2, 'solver': 'sag'}",EMPLOY1_2++EMPLOY1_8++agecat++SOCSEC3++BENEFITS_5
glm,EMPLOY,0.7791304347826087,"{'C': 0.7000000000000001, 'solver': 'sag'}",EMPLOY1_2++RETIRE++agecat++SOCSEC3++AUTOMATED_1
glm,EMPLOY,0.7789565217391304,"{'C': 0.7000000000000001, 'solver': 'sag'}",EMPLOY1_2++EMPLOY1_8++agecat++SOCSEC3++generation
glm,EMPLOY,0.7787826086956522,"{'C': 0.7000000000000001, 'solver': 'sag'}",EMPLOY1_2++EMPLOY1_8++agecat++SOCSEC3++AUTOMATED_1
glm,EMPLOY,0.7782608695652173,"{'C': 0.7000000000000001, 'solver': 'sag'}",EMPLOY1_2++RETIRE++agecat++SOCSEC3++generation
glm,EMPLOY,0.7780869565217391,"{'C': 0.6, 'solver': 'sag'}",EMPLOY1_2++EMPLOY1_8++agecat++SOCSEC3
glm,EMPLOY,0.7777391304347826,"{'C': 0.5, 'solver': 'sag'}",EMPLOY1_2++EMPLOY1_8++RETIRE++agecat++SOCSEC3
xgb,FWBscore,0.9583715577940248,"{'booster': 'gbtree', 'learning_rate': 0.2, 'max_depth': 4}",FWB2_1++FWB1_3++FWB2_3++FWB1_6++FWB1_5
xgb,FWBscore,0.9571899932823457,"{'booster': 'gbtree', 'learning_rate': 0.2, 'max_depth': 4}",FWB2_1++FWB1_3++FWB2_3++FWB2_4++FWB1_6
xgb,FWBscore,0.9564051084332124,"{'booster': 'gbtree', 'learning_rate': 0.2, 'max_depth': 4}",FWB2_1++FWB1_3++FWB2_3++FWB2_4++FWB1_5
xgb,FWBscore,0.9531973848215807,"{'booster': 'gbtree', 'learning_rate': 0.2, 'max_depth': 4}",FWB2_1++FWB2_3++FWB2_4++FWB1_6++FWB1_5
xgb,FWBscore,0.9514142396006942,"{'booster': 'gbtree', 'learning_rate': 0.2, 'max_depth': 4}",FWB2_1++FWB1_3++FWB2_4++FWB1_6++FWB1_5
xgb,FWBscore,0.9510809193204517,"{'booster': 'gbtree', 'learning_rate': 0.2, 'max_depth': 4}",FWB2_1++FWB1_3++FWB2_3++FWB1_6++FWB1_1
xgb,FWBscore,0.949413302483771,"{'booster': 'gbtree', 'learning_rate': 0.2, 'max_depth': 4}",FWB2_1++FWB1_3++FWB2_3++FWB2_2++FWB1_6
xgb,FWBscore,0.9492814431052415,"{'booster': 'gbtree', 'learning_rate': 0.2, 'max_depth': 4}",FWB2_1++FWB1_3++FWB2_3++FWB2_4++FWB1_1
xgb,FWBscore,0.9483113778646098,"{'booster': 'gbtree', 'learning_rate': 0.2, 'max_depth': 4}",FWB2_1++FWB1_3++FWB2_4++FWB1_5++FWB1_4
xgb,FWBscore,0.948292565208901,"{'booster': 'gbtree', 'learning_rate': 0.2, 'max_depth': 4}",FWB2_1++FWB1_3++FWB2_3++FWB1_6++FWB1_4
